question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,setting,,Where did the King of the Polar Bears live?,explicit,among the icebergs in the far north country,,,,the icebergs in the far north country,,
2,local,1,character,,"Who had a body that was thickly covered with long, white hair that glistened like silver under the rays of the midnight sun?",explicit,the King of the Polar Bears,,,,The King of the Polar Bears,,
3,local,2,causal relationship,,Why did the wolves believe that that the King of the Polar Bears was either a magician or under the protection of a powerful fairy?,explicit,"No earthly thing seemed able to harm him; he never failed to secure plenty of food, and he grew bigger and stronger day by day and year by year.",,,,"No earthly thing seemed able to harm him; he never failed to secure plenty of food, and he grew bigger and stronger day by day and year by year.",,
4,local,3,action,,What did the men do to the King of the Polar Bears?,implicit,shot at him,frightened him,startled him,,shot at him,scared him,
5,summary,"3, 4",prediction,action,"What will the men do to the polar bear after they made a loud ""bang""?",explicit,cut away his hide,,,,cut away his hide with its glorious white hair and carried it with them to a distant ship,,
6,local,6,causal relationship,,Why did the King of the Polar Bears only leave his icy cavern to fish or catch seals for food?,implicit,It was still strange for him to have his feathery covering.,It was strange for him to not have his fur.,,,His feathery covering was still strange to him.,,
7,local,4,causal relationship,,Why did the gulls each give the King of the Polar Bears as many feathers as they could spare?,explicit,repay his kindness,,,,to repay his kindness,,
8,local,7,feeling,,How did the King of the Polar Bears feel towards the men who harmed him?,implicit,scared,afraid,upset,,scared,afraid,
9,local,7,action,,What did the other polar bear do when it saw the King of the Polar Bears's great body covered with feathers instead of hair?,explicit,began to laugh,,,,laughed,,
10,local,9,causal relationship,,Why did the polar bears believe that the King of Polar Bears was unfit to be their king?,explicit,He was half bird and half bear.,,,,The polar bear was half bird and half bear.,,
11,summary,"8, 9",prediction,feeling,How will the polar bears feel when they find out that their king has feathers instead of fur?,implicit,upset,angry,mad,,angry,mad,
12,local,10,action,,What did the polar bears do when the great bear wanted to fight the King of the Polar Bears?,explicit,"nodded assent, and dispatched a messenger to the king to say he must fight the great Woof and master him or resign his sovereignty",,,,nodded assent,,
13,local,9,character,,Who challenged the King of the Polar Bears to a fight to be the next king?,explicit,the great Woof,,,,Woof,,
14,local,12,action,,What did the gulls do when the King of the Polar Bear commanded them to retrieve his hide?,explicit,seized the skin in their beaks and they flew quickly away,,,,"flew straight as an arrow, until they came to scattered houses, to villages, and to cities",,
15,summary,"12,13,14",prediction,action,What will the King of the Polar Bears do when the gulls are unable to bring his hide before the fight?,explicit,will resolve to fight bravely without it,,,,fight bravely without it,,
16,local,15,outcome resolution,,What happened to the great Woof when the King of the Polar Bears fought him?,explicit,His skull crackled like an egg-shell and he fell prone upon the ground.,,,,His skull crackled like an egg-shell and he fell prone upon the ground.,,
17,local,16,action,,What did the gulls do when they arrived with the King of the Polar Bears' hide?,explicit,flew down from above and dripped upon the king's body a skin covered with pure white hair that glittered in the sun like silver,,,,flew down from above and dripped upon the king's body a skin covered with pure white hair that glittered in the sun like silver,,
18,local,16,action,,What did the polar bears do when the king's body was covered with his hide?,explicit,bowed their shaggy heads in homage to the mighty King of the Polar Bears,,,,bowed their shaggy heads,,
