question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,What was the young man studying to be?,explicit,a poet,,,,,,
2,local,1,causal relationship,,Why did the young man believe that he could not invent anything?,explicit,"He had been born too late-everything had been taken up before he came into the world, and everything had been written and told about.",,,,,,
3,local,3,setting,,What size was the house that the wise woman lives in?,explicit,little,,,,,,
4,local,4,setting,,What stood beside the door?,explicit,bee-hive,,,,,,
5,local,5,action,,What does the woman order the young man to do?,implicit,write down his thought,write down his idea,,,,,
6,local,6,causal relationship,,Why wasn't the young man able to write poems according to the wise woman?,explicit,Because his ear is not sharpened to hear and he does not say the Lord's Prayer in the evening.,,,,,,
7,local,7,action,,What came from within the great potato?,explicit,sounds,,,,,,
8,local,8,action,,What did the potato sing?,explicit,herself and her family and arrival of the potato in Europe an the misrepresentation to which she had been exposed beore she was acknowledged,,,,,,
9,local,9,outcome resolution,,What happened to the potatoes that were planted incorrectly?,implicit,They grew and produced flowers and green watery fruit but all withered away.,They withered away after growing.,,,,,
10,local,10,causal relationship,,"Why were the lands named ""wine-land"", or ""Groenland"" or ""Sloeland""?",implicit,because there were bushes with blue-black grapes -- sloe bushes -- near where the potatoes grew,because sloe bushes grew there with grapes for wine,,,,,
11,local,11,action,,What did the bees do?,explicit,"They brought flower-dust which was poured out, sorted, and manufactured into honey and wax.",,,,,,
12,local,12,action,,From whom does the young man receive aspiration?,explicit,the crowd,the people,,,,,
13,local,13,causal relationship,,Why does the wise woman order the young man to hunt the poets?,implicit,to support himself and his wife,,,,,,
