question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,feeling,,how did the teapot feel about being porcelain?,explicit,proud,,,,,,
2,local,1,causal relationship,,why didn't the teapot talk about its lid?,implicit,because it was cracked and riveted,because it was a defect,because one does not talk about one's defects,,,,
3,local,1,action,,what did others talk about?,explicit,the lid's imperfections,,,,,,
4,local,2,character,,what does the teapot have that no one else has?,explicit,a spout,,,,,,
5,local,2,causal relationship,,why is the teapot the queen of the table?,explicit,because it has a spout,,,,,,
6,local,3,outcome resolution,,what happened when the teapot fell?,explicit,the spout and handle snapped off,,,,,,
7,summary,"3,4",action,,what was the teapot used for after it broke?,implicit,as a flower pot,for growing flowers,for planting a flower bulb,,,,
8,summary,"4,5",feeling,,how did the teapot feel about holding the flower?,explicit,glad,,,,,,
9,local,5,action,,what did someone say about the pot one day?,explicit,the flower deserved a better pot,,,,,,
10,local,4,action,,what did the bulb burst into?,explicit,a flower,,,,,,
11,local,5,causal relationship,,why was the pot thrown into the yard?,implicit,because it wasn't good enough for the flower,because the person wanted a better pot,it was getting replaced,,,,
