question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,action,setting,How did the Snow Man describe the weather?,explicit,delightfully cold,,,,,,
2,local,1,character,,Who was setting?,explicit,the sun,,,,,,
3,local,1,outcome resolution,,What happened after the sun went down?,explicit,the full moon rose,,,,,,
4,local,2,action,,What did the Snow Man wish he could do?,implicit,move away from that place,slide along on the ice,move along the ice,,,,
5,local,2,causal relationship,,"Why couldn't the dog say ""bow wow"" properly?",explicit,because he was quite hoarse,,,,,,
6,local,2,prediction,,What will make the Snow Man run some day?,explicit,the sun,,,,,,
7,local,3,causal relationship,,Why did the dog go into his kennel?,explicit,to sleep,,,,,,
8,local,4,action,setting,What did the frost make the trees and bushes look like?,explicit,a forest of white coral,,,,,,
9,local,4,setting,,What did the snowy carpet of the earth appear to be covered with?,explicit,diamonds,,,,,,
10,local,5,character,,Who came into the garden?,implicit,a young girl and a young man,a young girl with a young man,two lovers,,,,
11,local,5,causal relationship,,Why did the Snow Man ask the yard-dog about the two people in the garden?,implicit,the yard-dog had been there longer than the Snow Man,the yard-dog had more experience there than the Snow Man,,,,,
12,local,5,causal relationship,,Why didn't the yard-dog ever bite the young girl?,explicit,she stroked his back many times,,,,,,
13,local,6,causal relationship,,Why did the Snow Man know very little?,explicit,he was only born yesterday,,,,,,
14,local,6,action,,When was the Snow Man born?,explicit,yesterday,,,,,,
15,local,7,setting,,Where did the yard-dog used to lie?,explicit,"in a velvet-covered chair, up at the master's house",,,,,,
16,local,7,setting,,Where was the yard-dog sent away to when he grew too big?,explicit,the housekeeper's room,,,,,,
17,local,8,action,,What did the Snow Man see through the window?,implicit,the stove,a bright polished thing with a brazen knob,,,,,
18,summary,"8,9",causal relationship,,Why did the yard-dog give up such a comfortable place?,implicit,he had to,he was turned out of doors and chained up outside,he had bitten the youngest of the master's sons and was forced outside,,,,
19,local,9,causal relationship,,Why did the yard-dog say was his reason for biting the master's son?,explicit,He kicked away the bone I was gnawing.,,,,,,
20,local,10,outcome resolution,,What happened when the door of the stove was opened?,explicit,The flames darted out of its mouth.,,,,,,
21,local,11,feeling,,How did the Snow Man call the feeling he felt when he could not see the stove through the window?,explicit,stove sick,,,,,,
22,local,12,outcome resolution,,What happened as the warmth increased?,explicit,the Snow Man decreased,,,,,,
23,local,12,action,,What did the Snow Man have in his body that made him long for the stove?,explicit,a stove scraper,,,,,,
24,summary,"12,13",character,,Who sang about sweet spring-time?,explicit,the girls in the house,,,,,,
