question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,What was the name of Timmy Tiptoes' wife?,explicit,Goody,,,,,,
2,local,2,action,,What did Timmy Tiptoes and his wife do every day?,explicit,They made several journey and picked quanitites of nuts.,,,,,,
3,local,3,causal relationship,,Why did squirrels who bury their nuts in the ground lose more than half of the nuts?,explicit,because they cannot remember the place,,,,,,
4,local,3,character,,Who was the most forgetful squirrel in the wood?,explicit,silvertail,,,,,,
5,local,4,action,,What was the meaning behind the birds' singing?,implicit,There is no meaning.,It is only a natural song.,,,,,
6,local,5,action,,What did the other squirrels do to Timmy Tiptoes when they heard the song?,explicit,They rushed upon Timmy Tiptoes and cuffed and scratched him and upset his bag of nuts.,,,,,,
7,local,5,action,,How did Timmy Tiptoes respond after the other squirrels pushed him in the hole?,explicit,He lay quite stunned and still.,,,,,,
8,local,6,feeling,,How did Goody Tiptoes feel when Timmy Tiptoes did not return home?,explicit,lonely and unhappy,,,,,,
9,local,7,action,,What did the Chipmunk do to Timmy Tiptoes?,explicit,It lent him its nightcap and the house of full of provisions.,,,,,,
10,local,7,causal relationship,,Why did Timmy Tiptoes grow fatter?,implicit,He was confined to the bed.,He kept eating nuts that the chipmunk cracked for him.,,,,,
11,local,8,causal relationship,,Why did Goody Tiptoes never put any nuts into the woodpecker's hole?,explicit,because she had always douted how they could be got out again,,,,,,
12,local,8,action,,Where did Goody Tiptoes hide the nuts?,explicit,under a tree root,,,,,,
13,local,11,causal relationship,,Why was Chippy Hackee uncomforable even after retuning home?,implicit,He caught a cold.,He found he had caught a cold.,,,,,
14,local,11,action,,Where do Timmy and Goody Tiptoes keep their nuts?,explicit,They fastened them up with a little padlock.,,,,,,
