question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who used to live on a hill not far from Baalsberg?,explicit,Stompe Pilt,a giant,,,,,
2,local,1,action,,What was a goat-herd doing one day?,explicit,driving his flock up the hill in which Stompe Pilt dwelt,,,,,,
3,local,2,feeling,,How did Stompe Pilt feel when he heard the goat-herd go by?,implicit,angry,upset,mad,,,,
4,local,2,action,,How did the shepherd-lad react to the threats of Stompe Pilt?,implicit,threatened Stompe Pilt back,stood up for himself,,,,,
5,local,2,action,,How did the shepherd-lad use the fresh cheese to trick the giant?,implicit,pretended the cheese was a rock,squeezed the cheese pretending it was a rock,,,,,
6,local,3,action,,What did the giant propose?,explicit,They will fight with one another.,,,,,,
7,local,3,causal relationship,,Why did the shepherd say they must abuse each other first?,explicit,They can get into a proper rage.,They would grow angry.,,,,,
8,local,4,action,,What did the shepherd do as he answered the giant?,explicit,shot a sharp arrow against the giant's body with his bow,,,,,,
9,local,5,feeling,,How did the giant feel when the shepherd shot him with an arrow?,implicit,confused,pained,,,,,
10,local,6,outcome resolution,,What happened because the shepherd was brave and did not let the stupid giant frighten him?,explicit,The shepherd gained victory.,,,,,,
11,local,1,character,,Who was driving his flock up the hill in which Stompe Pilt dwelt?,explicit,a goat-herd,,,,,,
12,local,2,prediction,action,What will the shepherd do to the giant?,implicit,trick the giant,fight with the giant,scare the giant away,,,,
13,local,6,causal relationship,,Why did Stompe Pilt jump back into his hill?,implicit,He was afraid to fight the shepherd.,He got tricked by the shepherd.,,,,,
