question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,2,character,,Who were the people that kept the shop?,explicit,Ginger and Pickles,,,explicit,Ginger and Pickles,,
2,local,1,setting,,Where did Lucdina and Jane Doll-cook buy their groceries?,explicit,Ginger and Pickles,,,explicit,Ginger and Pickles,,
3,local,2,feeling,,How did the rabbits feel about Pickles?,explicit,afraid,,,explicit,afraid,,
4,summary,"5, 6",causal relationship,,Why didn't Pickles and Ginger make any money?,explicit,The customers never paid for as much as a pennyworth of peppermints.,,,implicit,they gave unlimited credit,,
5,local,6,causal relationship,,Why did Pickles and Ginger have to eat their own goods?,explicit,There was always no money.,,,explicit,they had no money,,
6,local,9,action,,What did Ginger and Pickle do to make everyone pay for their items?,explicit,sent in all the bills again to everybody,,,implicit,did accounts,,
7,local,11,action,,What did the policement deliver to Ginger and Pickles?,explicit,rates and taxes,,,implicit,a summons,,
8,summary,"11, 12",action,,What did Ginger and Pickles do after they close the shop?,explicit,Ginger was living in the warren.,Pickles was at present a gamekeeper.,,implicit,close the shop,,
9,local,12,causal relationship,,Why did the closing of the shop create great inconvenience for the villagers?,explicit,Tabitha Twitchit immediately raised the price of everything a half-penny and she continued to refuse to give credit.,,,explicit,Tabitha Twitch refused to give credit,Tabitha Twitch immediately raised the price of everything,
10,local,13,action,,What did Mr. John Dormouse and his daughter sell?,explicit,peppermints and candles,,,explicit,peppermints and candles,,
11,summary,"14, 15",outcome resolution,,What happened after Sally Henny Penny reopened the shop?,explicit,The shop was crammed with customers.,,,explicit,shop was crammed with customers,,
12,local,14,feeling,,How did the villagers feel when Sally Henny Penny sent out a printed poster to say that she was going to reopen the shop?,explicit,pleased,,,explicit,pleased,happy,content
13,summary,"4, 5",character,,How were Ginger and Pickles different from Tabitha Twitchit?,explicit,Ginger and Pickle gave unlimited credit and Tabitha Twitchit did not give credit.,,,explicit,Tabitha Twitch did not give credit,,
14,local,15,feeling,,How did Sally Henny Penny feel when she tried to count out change?,explicit,flustered,,,explicit,flustered,,
15,local,13,action,,What did Mr. Dormouse do when he was complained to?,explicit,stayed in bed,,,explicit,stayed in bed,"said nothing but ""very snug""",
16,local,15,outcome resolution,,What happened on opening day?,explicit,There was a rush.,,,explicit,there was a rush,,
17,local,2,character,,Who was a yellow tom-cat?,explicit,Ginger,,,explicit,Ginger,,
18,local,2,character,,Who was a terrier?,explicit,Pickles,,,explicit,Pickles,,
19,local,7,outcome resolution,,What happened when January 1st came?,explicit,"There was still no money, and Pickles was unable to buy a dog license.",,,explicit,there was no money,Pickles was unable to buy a dog license,
