question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who lived in the forest of Dovre?,explicit,Ola Storbaekkjen,,,,,,
2,local,1,action,,What did Ola do during the winter?,explicit,traveled from one fair to another hunting up quarrels and brawls,,,,,,
3,local,1,causal relationship,,Why was Ola the victor in every brawl?,explicit,"He was of giant build, powerful and fearless.",,,,,,
4,local,1,action,,What did Ola do in the summer?,explicit,dealt in cattle at Valders an the fjords and fought with the fjord-folk and the hill people of Halling and Valders,,,,,,
5,local,1,action,,What did folk sometimes do to Ola?,explicit,scratched him a bit with the knife,,,,,,
6,local,2,setting,,Where was Ola's home?,explicit,Baekkjen,,,,,,
7,local,2,setting,,When was Ola home?,explicit,the time of the hay harvest,,,,,,
8,local,2,action,,What did Ola want to do when he was home?,explicit,take a little after-dinner nap under the penthouse,,,,,,
9,local,2,setting,,Where was Ola taken?,explicit,into the hill,,,,,,
10,local,2,character,,Who came along and butted Ola?,explicit,a man with a pair of golden gilded goat's horns,,,,,,
11,local,3,causal relationship,,Why would Ola not eat?,explicit,The food did not seem to him to be appetizing.,,,,,,
12,local,3,action,,How long did the scuffle last?,explicit,over fourteen days,,,,,,
13,local,3,action,,What did the man with the gilded goat's horn do when he came in?,explicit,gave Ola a shovel,,,,,,
14,local,3,causal relationship,,Why did Ola take up his quarrel again and fight for the gilded goat's horns?,explicit,For those he wanted to break from the giant's forehead.,,,,,,
