question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,What was the little girl like?,explicit,pretty and dainty,,,,,,
2,local,1,action,,What did the old shoemaker's wife make for the little girl?,explicit,little shoes,,,,,,
3,local,1,character,,Who was in the carriage?,explicit,an old lady,,,,,,
4,local,2,causal relationship,,Why were the shoes burnt?,implicit,because the old lady thought they were ugly,the old lady didn't like them,,,,,
5,local,2,character,,Who was travelling through that part of the country?,explicit,the Queen,,,,,,
6,local,3,causal relationship,,Why didn't the old lady know the shoes were red?,explicit,because she could not see very well,,,,,,
7,local,3,action,,What color were the shoes Karen picked out?,explicit,red,,,,,,
8,local,4,setting,,Where did Karen wear the shoes?,explicit,in the church,,,,,,
9,local,4,action,,What was Karen thinking about during her confirmation?,explicit,her red shoes,,,,,,
10,local,4,causal relationship,,How did the old lady find out Karen wore red shoes?,implicit,everyone told her,she heard from everybody,others saw Karen's shoes and told the old lady,,,,
11,local,5,action,,Which color shoes did Karen put on?,explicit,red,,,,,,
12,local,5,character,,Who stood at the church door?,explicit,an old soldier,,,,,,
13,local,6,outcome resolution,,What happened when Karen started dancing?,implicit,she couldn't stop,she danced around the church corner,her legs continued to dance,,,,
14,local,6,causal relationship,,Why did they take off her shoes?,implicit,so she would stop dancing,so they wouldn't make her dance anymore,,,,,
15,local,6,prediction,,Why will Karen leave the shoes in the cupboard?,implicit,she still loves them,she can't stop staring at them,,,,,
16,local,7,setting,,Where did Karen wear her shoes to?,explicit,the ball,,,,,,
17,local,7,outcome resolution,,What happened when Karen wanted to dance to the right?,explicit,the shoes danced to the left,,,,,,
18,summary,"7,8",feeling,,How did Karen feel when the old soldier spoke to her in the woods?,explicit,freightened,,,,,,
19,local,8,character,,Who did Karen see as she danced past the open church door?,explicit,an angel,,,,,,
20,local,9,causal relationship,,Why didn't Karen hear what the angel answered?,implicit,the shoes kept dancing,the shoes brought her through the gate and into the fields,she could not stop to listen,,,,
21,local,10,action,,What does Karen ask the executioner to do?,explicit,"""cut off my feet with the red shoes""",,,,,,
22,local,10,action,,What did the executioner carve for Karen?,explicit,a pair of wooden feet and some crutches,,,,,,
23,local,11,feeling,,How did Karen feel during the whole week?,explicit,sad,,,,,,
24,local,11,causal relationship,,Why did Karen turn back and repent of her sin?,implicit,she saw the shoes dancing in front of her,the shoes were still dancing outside,,,,,
25,local,12,character,,Who took Karen into service?,explicit,the pastor's wife,,,,,,
26,local,12,action,,What did Karen do while the pastor read aloud from the Bible?,explicit,sat quiet,,,,,,
27,local,13,causal relationship,,"Why did Karen say ""O God! Help me!""?",implicit,because she wants to walk normally,she wants to be in church,she doesn't want to use crutches anymore,,,,
28,local,14,action,,What did the angel carry instead of a sword?,explicit,a beautiful green branch,,,,,,
29,local,14,setting,action,What building came to the girl?,explicit,the church,,,,,,
30,local,15,outcome resolution,,What happened to her heart after her heard filled with peace and joy?,explicit,it broke,,,,,,
