question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who were the brother and sister living with after their mom died?,explicit,their stepmother,,,,,,
2,local,1,causal relationship,,Why did the two decide to leave?,implicit,Their stepmother was mean to them.,They weren't being treated well.,They were given nothing to eat.,,,,
3,local,1,setting,,Where did they fall asleep?,explicit,in a high tree,,,,,,
4,local,2,causal relationship,,Why did the brother want to find a brook?,implicit,He was thirsty.,He needed water.,He needed to drink.,,,,
5,local,2,action,,What did the stepmother lay a spell on?,explicit,all the brooks in the forest,,,,,,
6,summary,"2,3",causal relationship,,Why didn't the sister want the brother to drink from any of the brooks?,implicit,because they would turn him into an animal,"they could turn him into a fawn, a tiger, or a wolf",,,,,
7,local,3,outcome resolution,,What happened when the brother drank from the brook?,explicit,he became a fawn,,,,,,
8,local,4,action,,What did the sister tie around the fawn's neck?,explicit,her golden girdle,,,,,,
9,summary,"4,5",setting,,Where did the sister and fawn decide to live?,implicit,in a little house in the woods,a little house in the forest,a small empty house,,,,
10,local,5,action,,What did the sister use to make a soft bed for the fawn?,explicit,leaves and moss,,,,,,
11,local,5,character,,Who held the great hunt in the forest?,explicit,the King,,,,,,
12,local,6,feeling,,How did the fawn feel when he left the hosue?,explicit,glad and merry,,,,,,
13,local,6,action,,What did the fawn say when he returned to the little house?,explicit,"Little sister, let me in.",,,,,,
14,local,7,character,,Who slipped after the fawn to the little house?,explicit,a hunter,,,,,,
15,summary,"7,8",causal relationship,feeling,Why was the sister terrified when the fawn came home?,implicit,because he was wounded,because his foot was wounded,because the hunters hurt the fawn's foot,,,,
16,local,8,feeling,,How did the sister feel when the fawn leaved for the hunt?,implicit,worried,heavyhearted,scared,,,,
17,summary,"8,9",causal relationship,,Why did the King go to the little house?,implicit,to ask for the maiden's hand in marriage,to ask the maiden to marry him,to see the maiden,,,,
18,local,9,action,,What did the King say when he knocked on the door?,explicit,"Little sister, let me in",,,,,,
19,local,9,character,,Who did the maiden insist on bringing with her to the castle?,explicit,the fawn,,,,,,
20,local,10,feeling,,How did the step-mother feel when she found out the sister and brother were living in the castle?,implicit,jealous,envious,,,,,
21,local,11,causal relationship,,Why did the old witch take the shape of a bedchamber woman?,implicit,so she could sneak into the castle,so she wouldn't be recognized by the Queen,so she could trick the queen,,,,
22,local,11,setting,,Where did the stepmother lead the queen?,explicit,into the bathroom,,,,,,
23,local,12,causal relationship,,Why did the daughter lie on her side in the bed?,implicit,to hide her lost eye,so the king wouldn't notice her lost eye,so no one would notice she wasn't the queen,,,,
24,local,13,character,,Who noticed the door open and the true queen come in?,explicit,the nurse,,,,,,
25,local,13,action,,What did the Queen do to the fawn when she went outside to see him?,explicit,stroked his back,,,,,,
26,local,14,character,,Who did the nurse tell about the Queen returning to the castle at night?,explicit,the King,,,,,,
27,local,15,outcome resolution,,"What happened when the Queen said ""I am your dear wife""?",explicit,her life returned to her,,,,,,
28,local,15,character,,Who was sent into the wood and devoured by wild beasts?,explicit,the daughter,,,,,,
29,local,15,outcome resolution,,What happened to the fawn when the witch was burned?,explicit,he took human shape again,,,,,,
