question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,action,,What did Isaac have?,explicit,a boat and a couple of goats,,,,,,
2,local,1,causal relationship,,Why did Isaac only have a boat and a couple of goats?,implicit,He was poor.,He did not have much money.,,,,,
3,local,1,action,,What did Isaac's wife feed the goats?,explicit,fish leavings and the grass she was able to gather on the surrounding hills,,,,,,
4,local,1,causal relationship,,Why did Isaac not get along with his neighbor?,explicit,The neighbor thought himself entitled to far more than such a beggarly fellow as Isaac.,The neighbor wanted to get him out of the way in order to take for himself the anchorage before Isaac's hut.,,,,,
5,local,2,outcome resolution,,What happened because of the tremendous storm?,explicit,Isaac had to throw all his fish overboard in order to lighten ship and save his life.,,,,,,
6,local,2,action,,How did Isaac keep the boat afloat?,explicit,steered a careful course between and across the mountainous waves,,,,,,
7,local,2,action,,What did Isaac think would happen after steering the boat for some time?,explicit,He ought to touch land somewhere.,,,,,,
8,local,2,action,,What did Isaac think was happening because he sailed on and on without sight of land?,explicit,The wind had veered.,,,,,,
9,local,3,action,,What did Isaac hear from the stern of the boat?,explicit,a hideous cry,,,,,,
10,local,3,feeling,,How did Isaac feel when he thought his last hour had come?,implicit,scared,worried,nervous,,,,
11,local,3,causal relationship,,"Why did Isaac grow hungry, thirsty, and weary?",implicit,He had been on the boat for a very long time.,He had no food or water on the boat.,He had sailed for a long time without anything to eat or drink.,,,,
12,local,3,feeling,,How did Isaac feel to reach land?,implicit,excited,grateful,overjoyed,,,,
13,local,4,setting,,Where did the narrow path lead to?,explicit,a green turf-roofed cottage of clay that rose above the field,,,,,,
14,local,4,character,,Who sat before the door?,explicit,a little man,,,,,,
15,local,4,action,,What was the man doing when Isaac saw him?,explicit,puffing away at a little pipe,,,,,,
16,local,5,character,,Who were the man's sons?,explicit,cormorants,,,,,,
17,local,5,prediction,action,What will the man give Isaac after inviting him inside his house?,implicit,food and water,something to eat and drink,,,,,
18,local,6,feeling,,How did Isaac feel when he saw the inside of the house?,implicit,awe,amazed,impressed,,,,
19,local,6,outcome resolution,,What happened no water how much Isaac ate or drank?,explicit,His plate was never empty.,His glass was always full.,,,,,
20,local,6,feeling,,How did Isaac feel when the three sons came?,implicit,scared,fearful,afraid,,,,
21,local,6,outcome resolution,,What happened when Isaac sat down and drank with the three sons?,explicit,They became good friends.,,,,,,
22,local,7,causal relationship,,Why was Isaac unable to catch any fish?,explicit,He had taken along his own fishing-tackle.,,,,,,
23,local,7,outcome resolution,,What happened because the sea was so full of fish?,explicit,They could not even put out an anchor.,,,,,,
24,local,7,feeling,,How did Isaac feel when he was unable to catch any fish?,implicit,disappointed,upset,sad,,,,
25,local,7,action,,What did the man give Isaac when he did not catch any fish?,explicit,a couple hooks,,,,,,
26,local,8,causal relationship,,Why did Isaac get homesick?,implicit,He had been at Urdost for a long time.,He missed his wife and children.,,,,,
27,local,8,feeling,,How did Isaac feel towards the man?,implicit,grateful,happy,,,,,
28,local,8,action,,What course did the man tell Isaac to set out to reach Urdost?,explicit,follow the cormorant when he heads for the open sea,,,,,,
29,local,9,outcome resolution,,What happened when Isaac got underway?,explicit,There was no Udrost in sight.,,,,,,
30,local,10,outcome resolution,,What happened no matter how many fish Isaac took away?,explicit,The stands were continually filled with fresh fish.,,,,,,
31,local,10,causal relationship,,Why was Isaac able to buy a new schooner?,explicit,He got so much money for his fish.,,,,,,
