question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6,comments
1,local,1,character,,How many sons did the king have?,explicit,seven,,,,,,,
2,local,1,feeling,,How did the king feel about his sons?,implicit,love,pride,,,,,,
3,local,1,outcome resolution,,What happened because the king was so fond of his sons?,explicit,He never could bear to them all away from him at once.,One of them always had to stay with him.,,,,,,
4,local,1,character,,Who did the king want to stay at home?,explicit,the youngest,,,,,,,
5,local,1,causal relationship,,Why did the six sons plan to leave?,explicit,to go forth and look for wives,,,,,,,
6,local,1,causal relationship,,Why did the other sons need to bring home a bride for the youngest?,explicit,The youngest the king wanted to keep at home.,,,,,,,
7,local,1,action,,What did the king give his six sons?,explicit,the handsomest clothes,clothes that glittered from afar,a horse,,,,,
8,local,1,outcome resolution,,What happened because the six sons were so deeply in love with their brides?,explicit,They altogether forgot they were also to bring back a princess for their younger brother.,,,,,,,
9,local,1,causal relationship,,Why did the six sons chose the six daughters?,implicit,They were beautiful.,They were the most beautiful.,They fell in love.,,,,,
10,local,1,action,,What did the clothes do from afar?,explicit,glittered,,,,,,,
11,local,2,outcome resolution,,What happened when the six sons and their wives passed a steep cliff-side?,explicit,"A giant came out, looked at them, and turned them all to stone.",,,,,,,
12,local,2,feeling,,How did the king feel when his sons did not return home?,explicit,very sad,,,,,,,
13,summary,"1,2",causal relationship,,Why was the king sad when his sons did not return?,implicit,He loved them very much.,He prized his sons.,,,,,,
14,local,2,action,,What did the youngest want to do?,explicit,set out and find his brothers again,,,,,,,
15,local,2,causal relationship,,Why did the king keep on living?,implicit,He still had his youngest son.,He still had one son.,,,,,,
16,local,2,outcome resolution,,What happened because the six sons were given all the good horses?,explicit,The king had only a wretched old nag for the youngest.,,,,,,,
17,local,3,character,,Who did the youngest meet when he had ridden a while?,explicit,a raven,,,,,,,
18,local,3,causal relationship,,Why was the raven unable to move?,explicit,He was so starved.,,,,,,,
19,local,3,causal relationship,,Why did the king's son agree to help the raven?,explicit,It was easy to see he needed it.,,,,,,,
20,local,3,action,,What was the salmon doing when the youngest reached the brook?,explicit,gotten on dry land and was threshing about and could not get back into the water,,,,,,,
21,local,3,prediction,action,What will the wolf ask from the king's son?,implicit,help,food,,,,,,
22,local,4,causal relationship,,Why did the prince say no to the wolf?,implicit,He already gave his food away.,He has already helped others.,He won't have anything to ride on.,,,,,
23,local,4,action,,What did the wolf offer the prince?,implicit,to let the prince ride on him,to help in the future when he is need,,,,,,
24,local,4,causal relationship,,Why was the wolf able to ride swiftly?,explicit,His meal had made the wolf so strong.,,,,,,,
25,local,4,setting,,Where did the wolf take the prince?,explicit,where the giants live,,,,,,,
26,local,4,action,,What did the prince do after he let the wolf eat the horse?,explicit,took the bit and put it in the wolf's mouth and fastened the saddle on his back,,,,,,,
27,local,4,character,,Who would tell the prince how to get rid of the giant?,explicit,a princess,,,,,,,
28,local,4,feeling,,How did the prince feel to enter the giant's door?,explicit,afraid,,,,,,,
29,local,4,action,,What did the prince think would happen to him if he entered the giant's home?,explicit,The giant would murder him.,,,,,,,
30,local,4,causal relationship,,Why could no one kill the giant?,explicit,He hasn't his heart about him.,,,,,,,
31,local,5,action,,What did the princess tell the prince to do?,explicit,crawled under the bed and listen carefully when she talked to the giant,,,,,,,
32,local,5,setting,,Where did the giant keep his heart?,explicit,under the threshold of the door,,,,,,,
33,local,5,causal relationship,,Why did the princess ask the giant where his heart was?,implicit,the prince laid under the bed,the prince needed to know to kill him,,,,,,
34,local,5,prediction,action,What will the prince do after finding out where the giant's heart was?,implicit,look for it,search for it,go get it,,,,,
35,local,6,action,,What did the giant do the next morning?,explicit,got up very early and went into the forest,,,,,,,
36,local,6,action,,What did the prince and king's daughter do after the giant left?,explicit,set about looking for the heart under the threshold of the door,,,,,,,
37,summary,"5,6",causal relationship,,Why could the prince and king's daughter not find the heart?,implicit,The giant lied.,The giant tricked them.,,,,,,
38,local,6,outcome resolution,,What happened because the king's daughter and the prince could not find the giant's heart?,implicit,They went back to the house.,They planned to try again.,,,,,,
39,local,6,action,,What reason did the princess give the giant for the strewn flowers?,implicit,She was fond of the giant and wanted to decorate the place where his heart lay.,She liked the giant and wanted to honor where his heart lay.,,,,,,
40,local,7,action,,What was the princess doing when she asked where the giant kept his heart?,explicit,sat looking out of the window,,,,,,,
41,local,8,causal relationship,,Why did the giant not want to tell the princess where his heart was kept?,explicit,She could never reach the place where he kept his heart.,,,,,,,
42,local,8,causal relationship,,Why did the giant tell the princess the true location of his heart?,explicit,The giant could no longer resist.,,,,,,,
43,summary,"3,4,8",character,prediction,Who will help the prince retrieve the giant's heart?,explicit,the wolf,the raven,the salmon,,,,,
44,summary,"4,9",causal relationship,,Why did the wolf help the prince to the well in the church?,implicit,The prince had helped the wolf before.,The wolf promised to help the prince.,,,,,,
45,local,9,action,,How long did it take to reach the lake?,explicit,"many, many days",,,,,,,
46,local,9,action,,What did the wolf do to get them across the lake?,explicit,swam,,,,,,,
47,local,9,causal relationship,,Why was the king's son not able to get the church-key?,explicit,The church-key hung high in the tower.,,,,,,,
48,local,10,action,,How was the raven able to retrieve the key?,implicit,He could fly.,The key was high up and the raven has wings.,,,,,,
49,local,10,outcome resolution,,What happened when the prince grasped and lifted the duck?,explicit,the egg fell into the well,,,,,,,
50,local,10,action,,What did the giant do when the prince squeezed the egg?,explicit,cried out,fearfully and tearfully begged for his life,,,,,,
51,local,10,causal relationship,,Why did the troll agree to turn the princess and brides back?,explicit,He would do all the king's son asked him to if only he would not squeeze his heart in two.,,,,,,,
52,local,11,feeling,,How did the king feel when his sons and their brides returned?,explicit,joy,,,,,,,
53,local,11,action,,How did the king and his sons celebrate when they returned?,explicit,a feast that lasted for weeks,,,,,,,
