question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,outcome resolution,,What happened because the cows had began to grow restless?,explicit,It was impossible to keep them in order.,,,,,,
2,local,1,character,,Who was able to manage the cattle?,explicit,one who was betrothed,one whose betrothal had but recently been celebrated,,,,,
3,local,1,feeling,,How did the maiden feel when she saw her sweetheart?,implicit,suspicious,skeptical,unsure,,,,
4,local,1,action,,What did the bridesmaids bring?,explicit,"the bridal crown, and the ornaments, and a handsome bridal gown",,,,,,
5,local,2,character,,Who else was aware there was something uncanny about it all?,explicit,the dog,,,,,,
6,local,2,action,,How did the dog get people to follow him?,explicit,"made his way to Melbustad, and howled and barked in the most lamentable manner",,,,,,
7,local,2,character,,Who were the whole company sitting together inside?,explicit,trolls,people from underground,,,,,
8,local,2,action,,What was missing among all the bridal finery?,explicit,the ring on the maiden's finger,,,,,,
9,local,3,feeling,,How did the bride feel when she the real person she was to marry?,implicit,confused,surprised,,,,,
10,local,3,action,,What did the bride think the groom had been doing all afternoon?,explicit,talking about their wedding,,,,,,
11,local,3,action,,How did the groom know it must have been someone else who had taken his shape?,explicit,He had just come.,,,,,,
12,local,4,setting,,Where did the fellow take his sweetheart?,explicit,the village,,,,,,
13,local,4,action,,How were the fellow and his sweetheart able to not fear such deviltry in the future?,explicit,He took her straight back to the village with him.,,,,,,
14,local,4,character,,Who did the bride think the trolls were?,explicit,"her sweetheart himself, and all their friends and relatives",,,,,,
