question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,action,,What had the cabin-boy been doing all summer long?,explicit,travelling with his captain,,,,,,
2,local,1,causal relationship,,Why did the cabin-boy not want to go along?,explicit,He grew restless.,,,,,,
3,local,1,setting,,When did the cabin-boy grow restless?,explicit,when they began to prepare to set sail in the fall,,,,,,
4,local,1,character,,What did the cabin-boy look like?,explicit,"a big, tall lad",,,,,,
5,local,1,causal relationship,,Why did the captain like the cabin-boy?,explicit,"He was quite at home on deck, was big, tall lad, and did not mind lending a hand when need arose.",He did as much work as an able seaman and was so full of fun that he kept the whole crew in good humor.,,,,,
6,local,1,outcome resolution,,What happened because the cabin-boy did as much work as a seaman and was so full of fun?,explicit,The captain did not like to lose him.,,,,,,
7,local,1,causal relationship,,Why did the cabin-boy have the second sight?,explicit,"He was a Sunday child, and had found a four-leaf clover.",,,,,,
8,local,1,character,,Who was left to guard the ship?,explicit,the youth,,,,,,
9,local,1,action,,What did the captain do at the farm-holding near the forest?,explicit,bargain for small timber and log wood,,,,,,
10,local,1,action,,What was the cabin-boy able to do with his second sight?,explicit,"see those who are invisible, but they could not see him",,,,,,
11,local,2,character,,Who were pretending to be  crows?,explicit,witches,,,,,,
12,local,2,character,,Who did the cabin-boy see through a crack?,explicit,three coal-black crows,,,,,,
13,local,2,action,,What were the crows talking about?,explicit,their husbands,,,,,,
14,local,2,feeling,,How did the crows feel about their husbands?,implicit,annoyed,irritated,upset,,,,
15,local,3,causal relationship,,How did the cabin-boy know the crow was the captain's wife?,explicit,by the way she spoke,,,,,,
16,local,3,causal relationship,,Why did the crows think no one could hear them?,explicit,There was not a soul aboard.,,,,,,
17,local,3,character,,Who were the other crows?,explicit,the wives of the first and second quartermasters,,,,,,
18,local,3,action,,How did the captain's wife plan to get rid of their husbands?,explicit,"turn themselves into breakers, wash them into the sea, and sink the ship with every man on board",,,,,,
19,local,3,prediction,feeling,How will the others feel about the captain's wife's plan?,explicit,pleased,,,,,,
20,local,4,action,,What would happen if someone used the counter-spell?,implicit,It would kill the witches.,It will cost the wives their lives.,,,,,
21,local,4,causal relationship,,Why did the captain's wife think there was someone listening to them?,explicit,It seemed to her as though some one were smoking in the forward cabin.,,,,,,
22,local,4,causal relationship,,Why did the captain's wife want to be cautious that there was no one listening?,implicit,They were planning to kill their husbands.,She did not want anyone to hear their plan.,She did not want anyone to hear the counter-spell.,,,,
23,local,5,feeling,,How did the wives feel about no one knowing the counter-spell?,implicit,excited,joyed,happy,,,,
24,summary,"1,3,4,5",prediction,action,What will the cabin-boy try to do?,implicit,use the counter-spell,do the counter-spell,tell the captain what he heard,,,,
25,summary,"5,6",causal relationship,,Why did the cabin-boy agree to come with them?,implicit,He wanted to prove he was brave.,He wanted to save the captain from his wife.,,,,,
26,local,6,action,,What did the cabin-boy want in exchange for coming?,explicit,"three cords of birch-wood were to be brought, full measure, and that on a certain day he was to have command, just as though he himself were captain",,,,,,
27,summary,"4,5,6",causal relationship,,Why did the cabin-boy want three cords of birch-wood?,implicit,to cast the counter-spell,to save the captain,,,,,
28,local,7,feeling,,How did the captain feel about the cabin-boy's request?,implicit,confused,surprised,,,,,
29,local,7,action,,What would the cabin-boy do if the captain did not meet his demands?,explicit,"set foot on the ship no more, and far less would he ever dirty his hands with pitch and tar on her again",,,,,,
30,local,7,causal relationship,,Why did the captain give in to the cabin boy's demands?,explicit,He wanted to have the boy along with him.,He thought that he would come to his senses again when they were once under way.,,,,,
31,local,8,feeling,,How did the captain and crew feel about the cabin-boy taking charge?,implicit,ridiculous,entertained,amused,,,,
32,summary,"5,6",prediction,action,What will the cabin-boy do on the day he takes charge?,implicit,do the counter spell,command the crew to throw the birch-wood overboard billet by billet,,,,,
33,local,8,outcome resolution,,What happened because a squall struck the ship?,explicit,They thought they would capsize.,,,,,,
34,local,8,causal relationship,,Why did the ship not founder when the first breaker roared down upon the ship?,explicit,They had reefed the sails.,,,,,,
35,summary,"8,9",causal relationship,,Why did the crew obey the cabin-boy to the letter and not laugh?,implicit,They trusted the cabin-boy.,The cabin-boy had saved them from foundering.,,,,,
36,local,9,action,,What was heard after the last billet fell?,explicit,a groaning,,,,,,
37,summary,"5,9",action,,What was the sound of the groaning?,implicit,The witches were hurt.,The crows were hurt.,,,,,
38,local,10,feeling,,How did the crew feel when the second squall hit?,explicit,frightened,,,,,,
39,local,10,outcome resolution,,What happened when the last billet fell?,explicit,They again heard a deep groan and then all was still.,,,,,,
40,local,10,prediction,action,What will be the worst squall?,implicit,the last one,the third one,,,,,
41,local,10,outcome resolution,,What happened when the last squall hit?,explicit,"The ship laid over on her side so that they thought she would not right herself again, and the breaker swept over the deck.",,,,,,
42,local,10,causal relationship,,Why was the crew frightened at the second squall?,explicit,The second squall was so vicious and violent.,,,,,,
43,summary,"1,11",causal relationship,,Why did the cabin-boy say the captain and quartermasters would not have wives any longer?,implicit,They were killed.,The counter-spell killed them.,,,,,
44,local,11,action,,What did the captain and quartermasters speak of when they reached land?,explicit,writing to their wives,,,,,,
45,local,11,causal relationship,,Why did the captain and quartermasters want to write to their wives?,implicit,They did not know the wives planned to kill them.,They did not know the wives were dead.,They wanted to tell their wives what had happened.,,,,
46,local,12,action,,What did the men learn when they returned home?,explicit,Their wives had disappeared the day of the storm.,,,,,,
