question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,setting,,Where did Hu-Wu-Bau live?,explicit,near the Great Mountain,,,,,,
2,local,1,setting,,Where did Hu-Wu-Bau find himself after he opened his eyes?,explicit,a lofty palace,,,,,,
3,local,1,causal relationship,,Why did the Lord of the Great Mountain send for Hu-Wu-Bau?,implicit,The Lord of the Great Mountain wanted Hu-Wu-Bau to take a letter to his daughter.,He wanted to deliver a letter to his daughter.,,,,,
4,summary,"2, 3",prediction,outcome resolution,What will happen when Hu-Wu-Bau returns to the upper world?,implicit,He will go on a journey to deliver the letter.,He will follow the directions the Lord of the Great Mountain has told him.,,,,,
5,local,3,action,,What did the river-god give Hu-Wu-Bau as a gift?,explicit,green silk shoes,,,,,,
6,summary,"3, 4",prediction,action,What will the Lord of the Great Mountain do after Hu-Wu-Bau delivers the letter?,explicit,thank him,,,,,,
7,local,5,action,,What did Hu-Wu-Bau's father want his son to do?,explicit,"plead for him, and beg him to excuse him from this task and make him the field- god in their village",,,,,,
8,summary,"5, 6",prediction,outcome resolution,What will happen when Hu-Wu-Bau begs to the Lord of the Mountain?,explicit,The Lord of the Mountain will listen to his prayer.,The Lord of the Mountain will give a warning.,,,,,
9,local,7,outcome resolution,,What happened when Hu-Wu-Bau's father was appointed as the field god?,explicit,In about a year's time nearly all his children had died.,,,,,,
10,local,7,feeling,,How did Hu-Wu-Bau feel when his children had died?,implicit,scared,terrified,,,,,
11,local,7,action,,What did the Lord of the Grat Mountain do when Hu-Wu-Bau told of his misfortune?,explicit,sent his messenger to fetch the man's father,,,,,,
12,local,7,action,,What was Hu-Wu-Bau's father's duty as the field god?,explicit,bring happiness to his family,,,,,,
13,local,8,causal relationship,,Why did Hu-Wu-Bau's children die?,explicit,Hu-Wu-Bau's father thought of his little grand-children and called them to him.,,,,,,
14,summary,"7, 8",prediction,action,What will the Lord of the Mountain do when Hu-Wu-Bau's father does not fulfill his duty?,explicit,"appoint another field-god for that village, and also give the father another place",,,,,,
