question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who did not have much regard for the son?,explicit,the second wife,,,,,,
2,local,1,setting,,Where was the son obliged to go?,explicit,out on a mountain,,,,,,
3,local,1,causal relationship,,Why was the son obliged to go to the mountain?,explicit,to take care of the cattle,,,,,,
4,local,1,outcome resolution,,What happened on the day that there was great hunger on the son?,explicit,The bracket bull heard him complaining and wringing his two hands.,,,,,,
5,local,1,outcome resolution,prediction,What will happen after the son puts his hand in the place where the horn was?,explicit,He will find food.,,,,,,
6,local,1,outcome resolution,,What happened when the son took hold of the horn and twisted it?,explicit,It came away with him in his hand.,,,,,,
7,local,2,action,,What did the stepmother believe when the son did not eat a bit of his supper?,explicit,He (must have) got something to eat out on the mountain.,,,,,,
8,local,2,character,,Who did the stepmother send with the son?,explicit,her own daughter,,,,,,
9,local,2,causal relationship,,Why did the stepmother send her daughter with the son?,explicit,see where he was getting the food,,,,,,
10,local,2,action,,What put the daughter to sleep?,explicit,that truly melodious music,,,,,,
11,local,2,action,,What did the daughter hear while watching the son?,explicit,every music more excellent than another,,,,,,
12,local,2,character,,Who did the stepmother send with the son the next day?,explicit,the second daughter,,,,,,
13,local,3,action,,What did the stepmother tell the third daughter to do?,explicit,"not to fall asleep, but to have a good watch",,,,,,
14,local,3,character,,How did the daughter look?,explicit,"This daughter had three eyes, for she had an eye in the back of her head.",,,,,,
15,local,3,action,,What was the bracket bull not able to put to sleep?,explicit,the third eye,,,,,,
16,local,3,action,,What did the third daughter see when the heat of day came?,explicit,"The bracket bull coming to the boy, and the boy taking the horn off him and eating.",,,,,,
17,local,3,action,,What did the mother say would save her?,explicit,a piece of the bracket bull that was on the mountain,,,,,,
18,local,4,character,,Who did the stepmother send to get the bracket bull?,explicit,two butchers,,,,,,
19,local,4,action,,What did the bracket bull used to be?,explicit,the first one of the cattle that used to come in every night,,,,,,
20,local,4,action,,How can the bracket bull be saved?,explicit,another cow goes before him,,,,,,
21,local,5,action,prediction,What will the stepmother do when she realizes the butchers failed a second time?,explicit,kill the bracket bull,,,,,,
22,local,5,character,,Who did the bracket bull say would end him?,explicit,another bull,,,,,,
23,local,5,setting,,Where did the bracket bull and the son spend the night?,explicit,a wild wood,,,,,,
24,local,6,action,,When did the other bull have to meet the bracket bull?,explicit,to-morrow by twelve o'clock,,,,,,
25,local,6,outcome resolution,prediction,What will happen whenever the son has a hard pinch?,explicit,The son shall have the bracket bull's power.,,,,,,
26,local,7,character,,Who did the son meet on the road?,explicit,a gentleman,,,,,,
27,local,7,setting,,Where was the lad going?,explicit,"He did not himself know where he was going, but that he was going looking for work.",,,,,,
28,local,7,character,,Who were on the gentleman's land?,explicit,three giants,,,,,,
