question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who awoke before dawn of day?,explicit,the Abbot of Inisfalen,,,,,,
2,local,1,setting,,Where did the Abbot of Inisfalen pray?,explicit,under the dewy green leaves,,,,,,
3,local,1,action,,What did the Abbot pray for while the dawn was waxing red?,explicit,for his sins' forgiveness,,,,,,
4,local,1,character,,Who did the Abbot pray for from his heart?,explicit,all men,,,,,,
5,local,1,setting,,Where was the Abbot's blissful soul?,explicit,in Heaven,,,,,,
6,summary,1,action,,What did the Abbot do after praying?,explicit,arose upon his feet,,,,,,
7,local,2,action,,What did the Abbot hear singing?,explicit,a small bird,little snow-white bird,,,,,
8,local,2,action,,What did the small bird sing upon?,explicit,a holly-bush,,,,,,
9,local,2,action,,What was the last time the Abbot heard such music?,explicit,the hour he was born,,,,,,
10,local,2,action,,What did the Abbot do after he heard the bird sing?,explicit,blessed the little white singing-bird,gladly went his way,,,,,
11,local,3,setting,,Where did the Abbot come to?,explicit,his Abbey,,,,,,
12,local,3,action,,What did the Abbot find when he came to his abbey?,explicit,a wondrous change,,,,,,
13,local,3,causal relationship,,Why did the Abbot see no friendly faces?,explicit,every face was strange,,,,,,
14,local,3,action,,What did the Abbot hear the strange men speak?,explicit,"The foreign tongue of the Sassenach, not wholesome Irish speech.",,,,,,
15,local,3,character,,Who came forward in Irish tongue?,explicit,the oldest monk,,,,,,
16,local,3,character,,Who wore the holy Augustine's dress?,explicit,Cormac,,,,,,
17,local,3,character,,Who was the strange men's Abbot?,explicit,Matthias,,,,,,
18,local,3,action,,What did the Abbot find when he came to his abbey?,explicit,never was heard of more,,,,,,
19,local,4,action,,What was heard outside the window?,explicit,the sweetest song they heard,,,,,,
20,local,4,action,,What did the monks see when they looked outside the window?,explicit,the bird,,,,,,
21,local,4,outcome resolution,,What happened after the two birds sang?,explicit,waved their white wings and fled,,,,,,
22,local,4,action,,What did the monks do to the blessed body?,explicit,buried his blessed body,,,,,,
23,local,4,setting,,Where did the monks bury the body?,explicit,where lake and greensward meet,,,,,,
24,local,4,action,,What did the Abbot see on the body's feet?,explicit,a holly-bush,,,,,,
25,local,3,outcome resolution,,What happened after the Abbot's prayers were said?,explicit,The Abbot hearken'd awhile to a little bird that sung above his head.,,,,,,
26,local,1,causal relationship,,Why did the Abbot kneel low?,explicit,the dawn was dim and gray,the dawn was waxing red,the dawn was waxing clear,,,,
27,local,1,action,,How did the Abbot pray while praying for a great player for Ireland?,explicit,with all his might,,,,,,
28,local,1,action,,What did that good old Father do while the son began to dart?,explicit,low kneel'd,,,,,,
29,local,1,action,prediction,What will the Abbot pray for?,implicit,forgiveness of his sins,Ireland,everyone,,,,
30,local,1,feeling,prediction,How will the Abbot feel praying?,implicit,peaceful,content,,,,,
31,local,1,causal relationship,,Why did the Abbot wake up at the dawn of day?,implicit,It was time to pray.,to pray at peace,to have time to pray for everything he wanted,,,,
32,local,2,feeling,prediction,How will the Abbot feel hearing the bird singing?,implicit,happy,glad,peaceful,,,,
33,local,2,causal relationship,,Why did the Abbot say he could never tire the bird's song?,implicit,The birds sung sweetly.,It was a beautiful song.,He had never heard such music since he was born.,,,,
34,local,3,causal relationship,,Why did the oldest monk approach the Abbot?,implicit,The oldest monk spoke Irish.,The oldest monk wanted to know about the holy Augustine's dress.,The Abbot came to the Abbey.,,,,
35,local,3,action,,What was the wondrous change the Abbot found?,implicit,new faces,strange men speaking Sassenach,,,,,
36,local,4,causal relationship,,Why did the strange men give the Abbot absolution?,implicit,The birds sang sweetly.,It was the Abbot's time to go.,The Abbot had to go to Heaven.,,,,
37,local,3,feeling,,How did the strange men feel towards Matthias?,implicit,skeptical,uncomfortable,dislike,,,,
38,local,1,setting,,Where was the Father out of so far as the living may be?,explicit,Time's dominion,,,,,,
39,local,1,action,,What did the Abbot of Inisfalen do to the bird when he decided to leave?,explicit,blessed the little white singing-bird,,,,,,
40,local,2,action,,What did the small bird sing upon?,explicit,"a hazel, it sung upon a thorn",a sycamore,a briar,,,,
41,local,4,feeling,prediction,How will the strange men feel after giving the Abbot absolution?,implicit,blessed,peaceful,content,,,,
42,local,4,outcome resolution,,What happened after the two birds flew aloft?,explicit,The good old man was dead.,,,,,,
