question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,causal relationship,,Why was there a long rope?,explicit,because the well was deep,,,,,,
2,local,2,causal relationship,,Why did the new-comers seem determined to stay where they were?,explicit,they found it very agreeable living in a dry place as they called the wet stores,,,,,,
3,local,3,outcome resolution,,What happened when the Mother-Frog was drawn out in the water-bucket?,explicit,The light became too strong for her and she got a pain in her eyes.,,,,,,
4,local,3,action,,What did the Mother-Frog learn after being drawn-up?,implicit,that the well was not all the world,that the world was more than the well,,,,,
5,local,4,action,,How did the young toads respond to the mother-Toad's response?,explicit,they made grimaces.,,,,,,
6,local,5,action,,How did the Mother-Frog describe the jewel?,implicit,a splendid and precious thing,something which one carries about one's own pleasure and that makes other people angry,,,,,
7,local,5,causal relationship,,Why did the Mother-Toad warn to take care of the bucket?,explicit,for it will crush the toads to death,The toads may fall out of it.,,,,,
8,local,7,outcome resolution,,What happened to the toad when the farmer kicked it?,explicit,It escaped being crushed by managing to scramble into the nettles.,,,,,,
9,local,8,feeling,,How did the little toad feel about the new environment?,explicit,pleased,,,,,,
10,local,10,action,,How long did the otad stay by the well?,explicit,eight days and eight nights,,,,,,
11,local,11,action,,What was the little toad invited to?,explicit,the family concert,,,,,,
12,local,11,action,,What does the little toad think to herself while watching the stars and the moon?,implicit,"She decides to go higher up, into splendor and joy.",,,,,,
13,local,12,action,,What was the first animal that the little toad encounters?,explicit,catepillar,,,,,,
14,local,12,outcome resolution,,What happened to the catepillar when the fowl pecked at it?,explicit,"It fell on the ground, where it twisted and writhed.",,,,,,
15,local,13,feeling,,How did the little toad feel after watching the interaction between the fowl and the catepillar?,explicit,horrified,,,,,,
16,local,15,action,,How did the poet sing of God's creation?,explicit,"clearly, sweetly, richly in well-sounding verses",,,,,,
17,local,16,action,,What was happening on the roof of the farm house?,explicit,Father-Stork was making a speech to his family.,,,,,,
18,local,17,causal relationship,,Why does the Stork describe man as the most conceited creature?,explicit,They boast of their gifts of eloquence and their language,,,,,,
19,local,17,causal relationship,,Why does the Stork believe that they are better than men?,implicit,Storks can speak language over the entire earth and can fly while men rush along the railways.,They can speak their langauge anywhere.,,,,,
20,local,18,setting,,How does the Mother-Stork describe Egypt and the waters of the Nile?,explicit,incomparable mud is found in a strange land,,,,,,
21,local,18,action,,What was the jewel?,explicit,continual striving and desire to go upward,,,,,,
22,local,19,outcome resolution,,What happened when the Stork seized the Toad?,explicit,It died.,,,,,,
23,summary,"19, 20",outcome resolution,,What happened to the jewel?,implicit,It became a sunbeam.,,,,,,
