question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who was Hans going to see?,explicit,Grethel,,,,,,
2,local,1,action,,What did Hans bring Grethel?,explicit,Nothing,,,,,,
3,local,1,action,,What did Grethel give Hans?,explicit,A needle,,,,,,
4,local,2,setting,,Where did Hans go after taking the knife?,explicit,home,,,,,,
5,summary,"1,2",causal relationship,,Why did Hans put the knife in his sleeve?,implicit,because his mother told him to put the needle there,because that's where his mother said to put the needle,so that his mother would be happy with him,,,,
6,local,3,action,,What did Hans do with the goat?,explicit,put it in his pocket,it was stupid,he should have put it somewhere else,,,,
7,local,3,prediction,,What will Hans mother say when he tells her where he put the goat?,implicit,that was very stupid,,,,,,
8,local,3,outcome resolution,,What happened to the goat when Hans put it in his pocket?,explicit,it was suffocated,,,,,,
9,local,4,action,,What did Hans's mother say he should have done with the goat?,implicit,put it on a leash,walked it home,tied a cord around its neck and walked home,,,,
10,local,5,causal relationship,,Why did Hans return home with only a string in his hand?,implicit,because a dog ate the bacon,because the bacon he tied it around got eaten,because the bacon was eaten,,,,
11,local,5,action,,Where does his mother think Hans should have carried the bacon?,explicit,on his head,,,,,,
12,local,6,outcome resolution,,What happened when Hans carried the calf home on his head?,implicit,the calf scratched his face,Hans's face got scratched,,,,,
13,local,7,causal relationship,,Why did Grethel run away?,implicit,because Hans threw sheep's eyes at her,because she wanted to marry someone else,because Hans tied her up and made her eat hay,,,,
14,local,7,setting,,What did Hans tie Grethel to?,explicit,the manger,,,,,,
