question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,setting,,Where did the old couple live?,explicit,on a homestead up in Hadeland,,,,,,
2,local,1,character,,Who was the couple's son?,explicit,a dragoon,,,,,,
3,local,1,setting,,Where did the couple and their son spend their summer?,explicit,a pasture in the hills,,,,,,
4,local,1,character,,Who was among the mountain folk?,explicit,a maiden,,,,,,
5,summary,"1,2",causal relationship,,Why did the son ride up into the hills?,explicit,He had often heard of the maiden who was so beautiful.,,,,,,
6,local,2,outcome resolution,,What happened because such a fire burned in the herdsman's hut?,explicit,It lit up every road.,,,,,,
7,local,2,character,,Who did the son see when he peeped through the window?,explicit,an old man and woman,a maiden,,,,,
8,local,2,character,,How did the old man and woman look different from the maiden?,explicit,The old man and woman were crooked and shriveled up with age.,The old man and woman were so unspeakably ugly.,The maiden was so surpassingly beautiful.,,,,
9,local,2,action,,How could the son tell the maiden had only just arrived?,explicit,Everything was in disorder.,,,,,,
10,local,3,outcome resolution,,What happened because the dragoon shot off his pistol?,explicit,The maiden tottered and fell to the ground.,The maiden grew every bit as ugly as she had been beautiful before.,,,,,
11,local,3,character,,What did the girl look like after she was washed?,explicit,Her nose was only half its original size.,Her ugly cow's tail was tied back.,She was not as handsome.,,,,
12,local,3,prediction,feeling,How will the dragoon feel about marring the girl?,implicit,scared,worried,nervous,,,,
13,local,3,action,,What did the dragoon do when the old man told him to take the girl?,explicit,stood as though rooted to the spot,,,,,,
14,local,4,action,,What did the old man tell the dragoon to do with the girl?,explicit,"Take her up before him on his horse, and ride into town and marry her.",,,,,,
15,local,4,causal relationship,,Why did the dragoon do as the old man said?,implicit,He was scared.,He didn't know what else to do.,,,,,
16,local,4,causal relationship,,Why did the bride beg one of the bridesmaids to stand close behind her?,explicit,so that no one could see her tail fall off when the priest joined their hands,,,,,,
17,local,4,action,,What did the bridegroom see when he went into the room for the old folk?,explicit,gold and silver,pile of money,,,,,
18,local,5,action,,What did the wife do whenever guests came?,explicit,laid the table for the old folk in the bake-house,,,,,,
19,local,5,feeling,,How did the dragoon feel about his wife?,implicit,dissatisfied,unhappy,,,,,
20,local,5,action,,What did the dragoon's wife do because he could not get the horse-shoe to fit?,explicit,go into the smithy herself and shoe the horse,,,,,,
21,local,5,feeling,,How did the dragoon's wife feel about her husband's ability as a farrier?,implicit,dissatisfied,disapproval,disappointed,,,,
22,local,6,action,,How was the wife able to bend the horse-shoe in her own hands?,explicit,She had a great deal of strength in her fingers.,,,,,,
23,local,6,causal relationship,,Why did the dragoon turn into one of the best husbands?,implicit,He was scared of his wife.,His wife was very strong.,He wanted his wife to live him.,,,,
24,summary,"5,6",character,,Who was a better farrier out of the dragoon and his wife?,explicit,his wife,,,,,,
