question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who did the king meet while hunting one day?,explicit,"a man whose head was out through his cap, whose elbows and knees were out through his clothing, and whose toes were out through his shoes",,,,,,
2,local,1,action,,What did the man do to the king?,explicit,"gave him a blow on the face, and drove three teeth from his mouth",,,,,,
3,local,1,outcome resolution,,What happened after the man blew on the king?,explicit,The same blow put the King's head in the dirt.,,,,,,
4,local,1,setting,,Where did the king go when he rose from the earth?,explicit,back to his castle,,,,,,
5,local,1,feeling,,How did the king feel as he laid down sick?,explicit,sorrowful,,,,,,
6,local,1,character,,Who were the king's sons?,explicit,Ur,Arthur,Lawn Dyarrig,,,,
7,local,1,setting,,Where were the sons before they came home?,explicit,at school,,,,,,
8,local,1,action,,What did Ur said he would do if he met the man?,explicit,He would make four parts of him between four horses.,,,,,,
9,local,2,causal relationship,,Why did the king tell Lawn Dyarrig he was not his son?,explicit,The king would not lose lands or property on him.,,,,,,
10,local,2,action,,What was the order given to Lawn Dyarrig?,explicit,leave the castle and make his own way for himself,,,,,,
11,local,2,causal relationship,,Why were the two elder brothers going to travel the world?,explicit,to know could they find the man who had injured their father,,,,,,
12,local,2,action,,What did Lawn Dyarrig think was strange?,explicit,Two men of high degree went travelling without a servant.,,,,,,
13,local,2,character,,Who was the two brothers' serving-boy?,explicit,Lawn Dyarrig,,,,,,
14,local,2,setting,,Where did the brothers come late to?,explicit,a house,,,,,,
15,local,2,action,,What did the woman do when she saw Lawn Dyarrig?,explicit,"kissed and welcomed, called him son of the King of Erin",,,,,,
16,local,3,action,,What did the woman and the brothers do in the second part?,explicit,told tales,,,,,,
17,local,3,outcome resolution,,What happened after the three had eaten?,explicit,The woman spoke to Ur.,,,,,,
18,local,3,action,,How did Ur's father lose three teeth?,explicit,"A champion met his father, and took three teeth from him.",,,,,,
19,local,3,character,,Who did the woman say the man was?,explicit,the Green Knight from Terrible Valley,,,,,,
20,local,3,setting,,Where was the Green Knight from?,explicit,Terrible Valley,,,,,,
21,local,3,action,,What did the woman say she never saw?,explicit,one coming back,,,,,,
22,local,3,action,,What did Lawn Dyarrig say when the woman asked he was going?,explicit,He was going with them as a servant.,,,,,,
23,local,4,character,,Who took the daughter?,explicit,the Green Knight of Terrible Valley,,,,,,
24,local,4,action,,What did the woman advise Ur to do?,explicit,go home to his father,,,,,,
25,local,4,outcome resolution,,What happened after Lawn Dyarrig first shook the old sword?,explicit,He knocked seven barrels of rust out of it.,,,,,,
26,local,5,action,,What did the woman supply Lawn Dyarrig with?,explicit,apparel of a hero,the slim white steed,,,,,
27,local,5,setting,prediction,Where will the white steed stop?,explicit,the Eastern World,,,,,,
28,local,5,prediction,action,What will Lawn Dyarrig do when he arrives in the Eastern World?,explicit,"come down, and cut the turf under the steed's beautiful right front foot",,,,,,
29,local,5,setting,,Where did Lawn Dyarrig find the white steed?,explicit,the stable,,,,,,
30,local,5,action,,What did the horse do at every leap?,explicit,"crossed seven hills and valleys, seven castles with villages, acres, roods, and odd perches",,,,,,
31,local,5,outcome resolution,,What happened after Lawn Dyarrig cut the sod under the foot of the steed?,explicit,He tightened the reins on the neck of the steed and let him go home.,,,,,,
32,local,5,action,,What did the brothers say they would rather do?,explicit,make a basket,,,,,,
33,local,6,outcome resolution,,What happened after Lawn Dyarrig came to the opening with the gads all twisted and made into one?,explicit,The brothers hadn't the ribs of the basket in the ground yet.,,,,,,
34,local,6,causal relationship,,Why did the brothers call Lawn Dyarrig a quick workman?,explicit,While they'd be putting one rod in the basket Lawn Dyarrig had the basket finished.,,,,,,
35,local,6,setting,,Who would go in the basket?,explicit,Ur,,,,,,
36,local,6,prediction,action,What will the brothers do if Ur sees something frightening?,explicit,The brothers will draw him up.,,,,,,
37,local,7,character,,Who did Lawn Dyarrig meet guarding the Terrible Valley?,explicit,seven hundred heroes,,,,,,
38,local,7,outcome resolution,,What happened after the heroes faced Lawn Dyarrig?,explicit,"They attacked Lawn Dyarrig, but he went through them like a hawk or a raven through small birds.",,,,,,
39,local,8,outcome resolution,,What happened to Lawn Dyarrig after he drank water?,explicit,He laid on the ground and fell asleep.,,,,,,
40,local,8,character,,Who did the lady in the Green Knight's castle send for water?,explicit,a maid,,,,,,
41,local,8,causal relationship,,Why did the mistress complain of the maid?,explicit,for being so long,,,,,,
42,local,8,action,,What did the maid think she saw near the spring?,explicit,a deadman,,,,,,
43,local,8,causal relationship,,Why did the maid say Lawn Dyarrig was at the spring?,explicit,The finest hero that ever a woman laid eyes on was sleeping at the spring.,,,,,,
44,local,9,action,,What did the mistress do when she saw Lawn Dyarrig?,explicit,smothered him with kisses,drowned him with tears,dried him with garments of fine silk and with her own hair,,,,
45,local,9,action,,What did the mistress say was the bond the Green Knight had to follow?,explicit,not to marry her for seven years and a day,,,,,,
