question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who had three daughters?,explicit,a widowed Queen,,,,,,
2,local,1,causal relationship,,Why was the eldest Princess determined that she would set out into the world to seek her fortune?,implicit,Her family barely had enough to eat.,Her mother was so poor.,,,,,
3,local,1,causal relationship,,Why did the widowed Queen allow the eldest Princess to set out into the world?,explicit,It was better to work abroad than to starve at home.,,,,,,
4,local,1,setting,,Where did the old hen-wife live?,explicit,near the Castle,,,,,,
5,local,1,character,,Who was said to be a witch and to be able to foretell the future?,explicit,an old-hen wife,,,,,,
6,local,1,action,,What did the widowed Queen tell her daughter to do before she set out on her travels?,explicit,ask the old hen-wife in which of the Four Airts she ought to go,,,,,,
7,local,1,causal relationship,,Why was the old-hen wife glad to help the eldest Princess?,explicit,She always felt very sorry for the Queen and her pretty daughters?,,,,,,
8,local,2,action,,What did the eldest Princess see after she peeped out the back door?,explicit,a magnificent coach,,,,,,
9,local,2,feeling,,How did the eldest Princess feel after she saw the magnificent coach?,explicit,excited,,,,,,
10,local,2,causal relationship,,Why did the second Princess tell her sister to make haste?,explicit,It was waiting for her.,,,,,,
11,local,2,action,,What did the eldest Princess do after her sister told her to make haste?,explicit,"hurried home, and, saying farewell to her mother and sisters, took her seat within, and the horses galloped off immediately",,,,,,
12,local,3,setting,,Where did the eldest Princess go to after she got onto the coach?,explicit,the Palace of a great and wealthy Prince,,,,,,
13,local,3,outcome resolution,,What happened after the eldest Princess got onto the coach?,implicit,She got married to a prince.,She went to a palace.,,,,,
14,local,3,causal relationship,,Why did the second Princess want to do the same thing as her eldest sister?,explicit,She hoped that what had happened to her sister would happen to her also.,,,,,,
15,local,3,feeling,,How did the second Princess feel after she saw the coach coming along the road?,implicit,happy,excited,glad,,,,
16,local,3,causal relationship,,Why did the youngest Princess want to find out her fortune?,implicit,Her sisters' fortunes were good.,She saw how lucky her sisters were.,,,,,
17,local,3,feeling,,How did the youngest Princess feel while she wanted to find out her fortune?,explicit,anxious,,,,,,
18,local,4,action,,What did the youngest Princess expect to see after she opened the door?,explicit,a third coach-and-six,,,,,,
19,local,4,feeling,,How did the youngest Princess feel after she did not see the coach?,implicit,sad,upset,disappointed,,,,
20,local,4,action,,What did the youngest Princess see after she opened the door?,implicit,a deserted road,an empty road,,,,,
21,local,4,action,,What did the youngest Princess need to do after the coach did not come?,implicit,She had to return the next day.,She needed to come back tomorrow.,,,,,
22,summary,"4, 5",prediction,outcome resolution,What will happen after the youngest Princess comes back to the old wife's cottage?,implicit,She will not see the coach.,She will not be lucky.,She will not have good fortune.,,,,
23,local,5,action,,What did the youngest Princess see on the third day?,explicit,a great Black Bull,,,,,,
24,local,5,feeling,,How did the youngest Princess feel after she saw the great Black Bull?,explicit,alarmed,,,,,,
25,local,5,causal relationship,,Why was the youngest Princess alarmed when she saw the great Black Bull?,implicit,It was approaching fiercely.,She did not expect a bull to come.,,,,,
26,summary,"5, 6",feeling,,How did the youngest Princess feel after she found out that the bull was her fate?,implicit,upset,disappointed,surprised,,,,
27,local,6,causal relationship,,Why didn't the youngest Princess want to go with the bull?,implicit,She did not want to accept her fortune.,She refused to believe that was her fortune.,,,,,
28,local,6,prediction,action,What will the youngest Princess do after the hen-wife says she must go with the bull?,explicit,"run weeping to her mother, to beg to be allowed to stay at home",,,,,,
29,local,6,causal relationship,,Why did the youngest Princess go with the bull?,explicit,She found her mother of the same mind as the Wise Woman.,,,,,,
30,local,6,action,,What did the youngest Princess do after the Black Bull set off again on his wild career?,explicit,"sobbed and trembled,  with terror, and clung to his horns with all her might",,,,,,
31,summary,"6, 7",causal relationship,,Why did the youngest Princess almost fall to the ground?,explicit,The poor maiden was so faint with fear and hunger.,,,,,,
32,local,7,action,,What did the Black Bull do when the youngest Princess was losing hold of his horns?,explicit,"turned his massive head round a little, and, speaking in a wonderfully soft and gentle voice",,,,,,
33,local,7,action,,What did the Black Bull tell the youngest Princess to do after she was about to lose hold of his horns?,explicit,"ate out of his right ear, and drank out of his left ear",,,,,,
34,local,7,outcome resolution,,What happened after the youngest Princess put her hand into the Bull's right ear?,explicit,She drew out some bread and meat.,,,,,,
35,local,7,outcome resolution,,What happened after the youngest Princess put her hand into his left ear?,explicit,She found there a tiny flagon of wine.,,,,,,
36,local,7,setting,,Where did the youngest Princess and the Black Bull go to rest?,explicit,a magnificent Castle,,,,,,
37,summary,"7, 8",causal relationship,,Why didn't the youngest Princess reply to the Black Bull when they arrived at his brother's castle?,explicit,She was too tired to wonder very much at anything.,,,,,,
38,local,8,action,,What did the Black Bull do after he ushered the youngest Princess into the hall?,explicit,trotted off quite contentedly to the grassy park,,,,,,
39,local,8,action,,What did the Lord and his Lady do after the youngest Princess arrived?,explicit,"gave her her supper, and led her to a richly furnished bedroom, and left her to rest there",,,,,,
40,local,8,action,,What did the Lord and his Lady give to the youngest Princess?,explicit,a beautiful apple,,,,,,
41,local,8,action,,What did the Lord and his Lady tell the youngest Princess after they handed her a beautiful apple?,explicit,"to break it, but to put it in her pocket, and keep it till she was in the greatest strait that mortal could be in",,,,,,
42,local,9,setting,,Where did the Black Bull and youngest Princess go to after they continued their journey?,explicit,another Castle,,,,,,
43,local,10,action,,What did Lord and Lady of the Castle give to her?,explicit,a pear,,,,,,
44,local,10,action,,What did the Lord and Lady of the Castle tell the youngest Princess after they gave her a pear?,explicit,"not break it until she was in the direst strait that she had ever been in, and then, if she broke it, it would bring her out of it",,,,,,
45,local,10,action,,What did the youngest Princess receive at the Black Bull's youngest brother's castle?,explicit,a most lovely plum,,,,,,
46,local,10,outcome resolution,,What happened after the youngest Princess and the Black Bull left his younget brother's castle?,explicit,There was no fine Castle waiting for them at the end of their journey.,,,,,,
47,local,10,feeling,,"How did the youngest Princess feel when they came to a dark, deep glen?",implicit,scared,worried,terrified,,,,
48,local,10,causal relationship,,Why did the youngest Princess feel scared?,explicit,"The shadows began to lengthen, they came to a dark, deep glen.",,,,,,
49,local,11,causal relationship,,Why couldn't the youngest Princess go with the Black Bull into the glen?,implicit,The Black Bull had to go in by himself.,The Black Bull needed to fight a great Spirit of Darkness.,,,,,
50,local,11,setting,,Where did the great Spirit of Darkness live?,explicit,in this glen,the dark and gloomy regio,,,,,
51,local,11,action,,What did the Black Bull tell the youngest Princess to do while he fought the Spirit of Darkness?,implicit,not move until he returned,stay seated until he returned,,,,,
52,local,11,causal relationship,,Why couldn't the youngest Princess move until the Black Bull came back?,explicit,The Evil Spirit of the Glen would have her in his power.,,,,,,
53,local,11,prediction,action,How will the youngest Princess know what happens to the Black Bull?,explicit,"If everything about thee turn blue, then thou wilt know that I have vanquished the Evil Spirit; but if everything about thee turn red, then the Evil Spirit hath vanquished me.",,,,,,
54,local,11,prediction,feeling,How will the youngest Princess feel after the Black Bull left?,explicit,afraid,,,,,,
55,local,11,outcome resolution,,What happened after the Black Bull defeated the Evil Spirit?,explicit,A mystic spell fell upon her.,,,,,,
56,local,12,action,,How did the youngest Princess know that the Black Bull defeated the Evil Spirit?,explicit,The landscape turned a deep azure blue.,,,,,,
57,summary,"11, 12",outcome resolution,prediction,What will happened after the mystic spell falls upon the youngest Princess?,implicit,She will not see the Black Bull.,The Black Bull will not see her.,,,,,
58,local,12,causal relationship,,Why couldn't the Black Bull and the youngest Princess see each other?,implicit,The spell hindered the both of them.,The spell prevented them from seeing each other.,,,,,
59,local,12,causal relationship,,Why did the youngest Princess still wait for the Black Bull on the stone?,explicit,She did not see him come out of the glen.,The spell,,,,,
60,local,12,causal relationship,,Why did the youngest Princess start crying?,explicit,"She became so wearied, and lonely, and frightened.",,,,,,
61,local,13,causal relationship,,Why did the youngest Princess walk away from the stone?,explicit,She felt that it was no use sitting there any longer.,,,,,,
62,local,12,feeling,,How did the youngest Princess feel after she could not find the Black Bull?,implicit,scared,upset,afraid,,,,
63,local,13,action,,What did the youngest Princess do after she came to a great hill?,explicit,tried time after time to climb it,,,,,,
64,local,13,causal relationship,,Why couldn't the youngest Princess climb the great hill?,explicit,"The surface of the hill was so slippery,",,,,,,
65,local,13,causal relationship,,Why did the youngest Princess begin to walk around the bottom of the hill?,implicit,She hoped to find another path.,She wanted to find another way.,,,,,
66,local,13,setting,,Where did the youngest Princess go after she could not climb over the hill?,explicit,a little cottage,,,,,,
67,local,13,causal relationship,,Why did the youngest Princess feel like it was a hopeless quest?,explicit,"The hill was so big, and she was so tired.",,,,,,
68,local,13,character,,Who was working at his anvil?,explicit,an old smith,,,,,,
69,local,14,action,,What did the youngest Princess do after she approached the old smith?,explicit,asked him if he could tell her of any path that would lead her over the mountain,,,,,,
70,local,14,causal relationship,,Why was it hard for folk men to walk around the Mountain of Glass?,explicit,"The foot of it stretched out for hundreds of miles, and the folk who tried to do so were almost sure to lose their way.",,,,,,
71,local,14,action,,What did the youngest Princess need to walk over the top of the Mountain of Glass?,explicit,iron shoon,,,,,,
72,local,14,causal relationship,,Why did the youngest Princess suddenly stop after asking to pay for the iron shoon?,explicit,She remembered that she had no money.,,,,,,
73,local,14,action,,What did the youngest Princess have to do to get the iron shoon?,implicit,serve the old man,work for the old man,,,,,
74,local,15,action,,What did the youngest Princess do for seven years?,explicit,"cleaned his house, and cooked his food, and made and mended his clothes",,,,,,
75,local,15,causal relationship,,Why did the youngest Princess accept the old man's offer?,explicit,There seemed nothing else for it.,,,,,,
76,local,15,setting,,Where did the youngest Princess go to after she descended the summit?,explicit,the house of an old washerwoman,,,,,,
