question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,causal relationship,,Why did the natives call the immense boulder the Dwarfie Stone?,explicit,Snorro the Dwarf lived there.,,,explicit,Snorro the Dwarf lived there,,
2,local,1,character,,"Who was a little man, with a queer, twisted, deformed body and a face of marvellous beauty?",explicit,Snorro,,,explicit,Snorro,,
3,local,1,causal relationship,,Why didn't anyone know much about Snorro the Dwarf?,explicit,The Dwarf had inhabited the Dwarfie Stone long before the oldest man or woman in Hoy had been born.,,,explicit,The Dwarf had inhabited the Dwarfie Stone long before the oldest man or woman in Hoy had been born,,
4,local,1,action,character,What did Snorro inherit from his mother?,explicit,the dangerous qualities of vanity and ambition,,,explicit,The dangerous qualities of vanity,,
5,local,1,causal relationship,,Why did Snorro wear a mirror of polished steel round his neck?,explicit,He constantly looked in order to see the reflection of his handsome face.,,,explicit,To see the reflection of his handsome face,,
6,local,2,character,,Who came to seek Snorro's help?,explicit,the country people,,,explicit,The country people,,
7,local,2,action,,What did the country people need to do before Snorro would attend to them?,explicit,bowed themselves humbly before him and spoke to him as if he were a King,,,explicit,Bowed themselves humbly before him and spoke to him as if he were a King,,
8,local,2,action,,What did Snorro collect on the hillsides?,explicit,herbs and simple,,,explicit,Collecting herbs an simples on the hillsides,,
9,local,2,causal relationship,,Why did the country people seek for Snorro's help?,implicit,He made medicines and potions.,He sold medicines and potions.,,implicit,To buy potions,To buy herbs and simples,Get their fortunes told
10,local,2,action,,What did Snorro use to tell the simple Islanders their fortunes?,explicit,a wonderful leathern-covered book,,,explicit,A wonderful leather-covered book,,
11,local,2,feeling,,How did the Islanders feel about Snorro?,explicit,fear,,,explicit,Fear,,
12,local,2,causal relationship,,Why did the Islanders fear the book almost as much as they feared Snorro himself?,explicit,"It was whispered that it had once belonged to Odin, and they crossed themselves for protection as they named the mighty Enchanter.",,,explicit,It was whispered that it had once belonged to Odin,,
13,local,3,causal relationship,,Why did Snorro choose to live in the Dwarfie Stone?,implicit,He wanted to find a stone.,He was searching for a stone.,,implicit,He wanted to find the carbuncle,,
14,local,3,causal relationship,,Why did Snorro want to find the hidden carbuncle?,explicit,"It would bestow on its finder marvellous magic gifts--Health, Wealth, and Happiness.",,,explicit,"When it was found, would bestow on its finder marvellous magic gifts--Health, Wealth, and Happiness",,
15,local,3,setting,,Where was the wonderful carbuncle hidden?,explicit,the Wart Hill of Hoy,,,explicit,Wart Hill,,
16,local,3,action,,What did Snorro do while everyone was wandering?,explicit,"creep out, with pickaxe and spade, to turn over the rocks or dig over the turf",,,explicit,"He would creep out, with pickaxe and spade, to turn over the rocks or dig over thr turf",,
17,local,4,character,,"Who lived in the cave along with Snorro, and was his bosom friend and companion?",explicit,an enormous grey-headed Raven,,,explicit,An enourmous grey-headed Raven,,
18,local,4,causal relationship,,Why did the Islanders fear the Raven?,implicit,It was a bad omen.,It was an ill omen.,,implicit,He was a bird of ill omen,They felt something weird and uncanny about him,
19,local,4,character,,"Who was a tall, handsome man, with dark hair, and eyes like sloes?",explicit,Paul,,,explicit,Paul,,
20,local,4,causal relationship,,Why did all the country people love Paul?,explicit,"He was so skilled in knightly exercises, and had such a sweet and loving nature.",,,explicit,He was so skilled in knightly exercises,,
21,local,4,action,,What did men call Paul?,explicit,Paul the Silent,Paul the Taciturn,,explicit,Paul the Silent,Paul the Taciturn,
22,local,5,character,,Who was as different from his brother as night is from day?,explicit,Harold,,,explicit,Harold,,
23,local,5,action,,What did people call Harold?,explicit,Harold the Orator,,,explicit,Harold the Orator,,
24,local,5,causal relationship,,Why did people call Harold as Harold the Orator?,explicit,He was always free of speech and ready with his tongue.,,,explicit,He was always free of speech and ready with his tongue,,
25,local,5,causal relationship,,Why didn't people like Harold?,explicit,"He was haughty, and jealous, and quick-tempered.",,,explicit,"He was haughty, and jealous and quick-tempered",,
26,local,5,causal relationship,,Why was Harold jealous of his brother?,explicit,The people liked his silent brother best.,,,explicit,People liked his silent brother best,,
27,local,6,character,,Who was a charming young Irish lady?,explicit,the Lady Morna,,,explicit,The Lady Morna,,
