question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,setting,,Where did the poor young widow woman live?,explicit,in a house called Kittlerumpit,,,explicit,Kittlerumpit,,
2,local,1,causal relationship,,Why did people pity the widowed Mistress of Kittlerumpit?,explicit,"She had lost her husband, and no one quite knew what had become of him.",,,explicit,She had lost her husband,,
3,local,1,action,,What did some people say about her husband?,explicit,"had been persuaded to enlist, and had been killed in the wars",,,explicit,Killed in the wars,,
4,local,1,action,,What did others say about her husband?,explicit,"had been taken away to serve as a sailor by the press-gang, and had been drowned at sea",,,explicit,Taken away to serve as a sailor,,
5,local,2,character,,Who was the widowed Mistress of Kittlerumpit left with?,explicit,a little baby-boy,,,explicit,A little baby-boy,,
6,local,2,causal relationship,,Why didn't the widowed Mistress of Kittlerumpit have much to live on?,explicit,Times were bad.,,,explicit,Times were bad,,
7,local,2,action,,What did the widowed Mistress do to earn enough money?,explicit,"worked all day amongst her cows, and pigs, and hens",,,explicit,"Worked all day amongst her cows, and pigs and hens",,
8,local,2,causal relationship,,Why did the widowed Mistress rise very early and go out to feed her pigs?,explicit,"Rent-day was coming on, and she intended to take one of them, a great, big, fat creature, to the market that very day.",,,explicit,Rent-day was coming on,,
9,local,2,causal relationship,,Why did the widowed Mistress want to sell her pig?,explicit,She thought that the price that it would fetch would go a long way towards paying her rent.,,,explicit,The price it would fetch would go a long way towards paying her rent,,
10,local,2,feeling,,How did the widowed Mistress feel while she thought of selling the pig?,implicit,happy,excited,glad,implicit,Very happy,Light-hearted,
11,local,3,feeling,,How did the widowed Mistress feel after she saw her dying pig?,implicit,sad,upset,worried,explicit,Despair,,
12,local,3,outcome resolution,,What happened after the widowed Mistress reached the pig stye?,implicit,Her pig looked as if it was going to die.,Her pig was unwell.,,explicit,There lay her cherish pig on its back,,
13,local,3,causal relationship,,Why did the widowed Mistress feel upset after she saw her cherished pig on its back?,explicit,She was going to lose her finest pig.,She hoped to fetch a deal of money.,,explicit,It was going to breathe its last breath,,
14,local,4,character,,Who looked like a lady born?,explicit,an Old Woman,,,explicit,Old Woman,,
15,local,4,action,,What did the widowed Mistress do as the Old Woman drew near?,explicit,rise and curtsey to the Gentlewoman,,,explicit,Curtsey,,
16,local,5,causal relationship,,Why was the widowed Mistress the most unfortunate woman in the world?,implicit,She lost her husband and her pig.,Her pig died.,,explicit,Lost her husband,now the pig is likely to die,
17,local,5,action,,What did the widowed Mistress need to do before the Old Woman could help her cure the pig?,implicit,offer something in return,give something to her,,implicit,Give her something in return for curing the pig,,
18,local,5,prediction,feeling,How will the widowed Mistress feel after the Old Woman offers to cure her pig?,explicit,delighted,,,explicit,Delighted,,
