question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,2,setting,,Where did the old man and his wife live?,explicit,in a dear little cottage by the side of a burn,,,explicit,In a dear little cottage by the side of a burn,,
2,local,2,character,,Who were a very canty and contented couple?,explicit,an old man and his wife,,,explicit,An old man and his wife,,
3,local,2,action,,What animals did the couple own?,explicit,"two sleek cows, five hens and a cock, an old cat, and two kittens",,,explicit,"Two sleek cows, five hens and a cock, and old cat and two kittens",,
4,local,2,action,,What did the old man spend his time doing?,explicit,"looking after the cows, and the hens, and the garden",,,explicit,"Looking after the cows, and the hens, and the garden",,
5,local,2,action,,What did the old woman want for supper?,explicit,an oatmeal bannock,,,explicit,An oatmeal bannock,,
6,local,2,action,,What did the old woman do to make an oatmeal bannock?,explicit,"took down her bakeboard, and put on her girdle, and baked a couple of fine cakes, and when they were ready she put them down before the fire to harden",,,explicit,"She took down her bakeboard, and put on her girdle, and baked a couple of fine cakes",,
7,local,3,outcome resolution,,What happened after the other bannock saw the old man eat one of the bannocks?,implicit,The other bannock tried to escape.,The bannock did not want to get eaten.,,explicit,It ran across the kitchen and out of the door as fast as it could,,
8,local,3,feeling,,How did the other bannock feel after it saw one of the banoocks get eaten?,implicit,scared,terrified,worried,implicit,Determined to run away,Afraid of being eaten,
9,local,3,outcome resolution,,What happened after the old woman chased after the bannock?,implicit,The bannock ran into another house.,The bannock escaped from her.,,implicit,The bannock escaped over hill behind the house and ran into a cottage,,
10,local,3,action,,What did the woman do after she saw the bannock disappearing?,explicit,"ran after it as fast as her legs would carry her, holding her spindle in one hand and her distaff in the other",,,explicit,Ran after it,,
11,local,3,causal relationship,,Why couldn't the old woman catch up to the bannock?,explicit,"She was old, and the bannock was young, and it ran faster than she did, and escaped over the hill behind the house.",,,explicit,She was old and tha bananock was young,,
12,local,3,setting,,Where did the bannock escape to?,explicit,a large newly thatched cottage,,,explicit,A large newly thatched cottage,,
13,local,4,action,,What were the tailors and his apprentices doing before the bannock came in?,explicit,"sat cross-legged on the top of a big table by the window, sew away with all their might",,,explicit,"Sitting cross-legged on the top of a big table by the window, sewing away with all their might",,
14,local,4,feeling,,How did the three tailors feel after they saw the bannock?,implicit,frightened,scared,afraid,implicit,Frightened,Afraid,
15,summary,"3, 4",prediction,action,What will the tailors do when they see the bannock?,explicit,jump down from the table and hide behind the Master Tailor's wife,,,implicit,Try to catch it,Try to get it out of the house,
16,summary,"4, 5",prediction,action,What will the tailor's wife and the three tailors do to the bannock?,implicit,try to catch the bannock,,,implicit,Eat it with milk,,
17,local,4,action,,What did the tailor's wife and the three tailors want to do with the bannock after they caught it?,implicit,eat the bannock,,,implicit,Split it between them and drink milk,,
18,local,5,action,,How did the bannock escape from the tailor's wife and the three tailors?,explicit,"dodged them round and round the fire, and at last it got safely out of the door and ran down the road",,,explicit,It dodged them roun and round the fire,,
19,local,5,action,,What did the three tailors use to catch the bannock?,explicit,"great shears, line measure, and the saucer full of pins",,,implicit,"Giant shears, line measure and a saucer full of pins",,
20,local,5,setting,,Where did the bannock escape to after running away from the tailors?,explicit,a tiny cottage by the roadside,,,explicit,A tiny cottage,,
21,summary,"5, 6",prediction,feeling,How will the weaver feel after seeing the bannock?,explicit,delighted,,,implicit,Frightened,Scared,
22,local,6,action,,What did the weaver's husband want her to do?,implicit,grab the bannock,catch the bannock,,explicit,Grip it,,
23,local,7,action,,What did the Goodwife throw at the bannock?,explicit,her clue,,,explicit,Her clue at it,,
24,local,7,action,,What did the Goodwife do in the kitchen?,explicit,filled her kirn,,,explicit,She had just filled her Kirn,,
25,local,7,action,,What did the Goodwife want to eat with her cream?,explicit,cakes,,,explicit,Cakes,,
26,local,8,causal relationship,,Why wasn't the Goodwife able to catch the bannock?,implicit,She had to fix the kirn.,She had to put the kirn back right again.,,explicit,She nearly upset the kirn,,
27,local,9,causal relationship,,Why did the bannock run away from the miller?,explicit,The little bannock had no wish to be eaten up by the miller.,,,implicit,The miller wanted to eat the bannock,,
28,local,9,causal relationship,,Why didn't the miller run after the bannock?,explicit,The miller was so busy.,,,explicit,The miller was so busy,,
29,local,9,action,,What did the smith do as the bannock entered?,explicit,made horse-shoe nails,,,explicit,Pick up his hammer and ran after it,,
30,local,10,feeling,,How did  the smith feel after the bannock ran away?,explicit,disappointed,,,explicit,Disappointed,,
31,local,10,action,,What did the smith do after the bannock ran away?,explicit,flung his heavy hammer at it,,,explicit,He flung his heavy hammer at it,,
32,local,10,outcome resolution,,What happened after the smith flung his heavy hammer at the bannock?,explicit,He missed his aim.,,,implicit,The bannock continued to run away unharmed,,
