question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who was was one of the prettiest children in the whole world?,explicit,Gold-Tree,,,,,,
2,local,1,action,,How did Golden-Tree's father give her a very happy life?,explicit,"loved her dearly, and thought that nothing was too much trouble so long as it gave his little daughter pleasure",,,,,,
3,local,1,causal relationship,,Why did the little Princess's sorrows begin?,explicit,Her father married again.,,,,,,
4,local,1,character,,"Who was very beautiful, but she was also very jealous, and she made herself quite miserable?",explicit,Silver-Tree,,,,,,
5,local,1,action,,How did Silver-Tree make herself miserable?,implicit,She feared that she would meet someone who as better looking than her.,She worried that she would meet someone who was prettier than her.,,,,,
6,local,2,causal relationship,,Why did Silver-Tree tke a dislike to Gold-tree?,explicit,She found that her step-daughter was so very pretty.,,,,,,
7,local,2,setting,,Where did the two ladies go for a walk?,explicit,to a little well,,,,,,
8,local,2,causal relationship,,Why did the Queen love to come and peep into the little well?,explicit,She could see her own picture mirrored in the water.,,,,,,
9,local,3,character,,Who was swimming quietly backwards and forwards not very far from the surface?,explicit,a little trout,,,,,,
10,local,3,action,,What did the trout say when the Queen asked who was the most beautiful woman in the world?,implicit,"The step-daughter, the Princess Gold-Tree",,,,,,
11,local,3,feeling,,How did the trout feel when he saw the jealous Queen's face?,explicit,frightened,,,,,,
12,local,4,action,,What did the trout do when it was frightened by the Queen?,explicit,dived to the bottom of the well,,,,,,
13,summary,"3, 4",prediction,action,What will the Queen do after she find out that Golden-Tree is the most beautiful?,implicit,run home in anger,,,,,,
14,local,4,action,,What did the Queen do when she reached home?,explicit,"went up, in a violent passion, to her room, and threw herself on the bed, declaring that she felt very ill indeed",,,,,,
15,local,4,causal relationship,,Why did the Princess feel very sad?,explicit,The Queen pushed her away as if she had been some evil thing.,,,,,,
16,local,5,feeling,,How did the King feel after he was told that the Queen was suddenly ill?,implicit,anxious,concerned,worried,,,,
