question_id,local-or-sum,cor_section,ex-or-im1,attribute1,attribute2,question,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,explicit,character,,What was the wicked manito in the disguise of?,an old Indian,,,explicit,An old indian,,
2,local,1,explicit,action,,Why did the Mudjee Monedo almost live in solitude in the wilderness?,had so thinned the people by his cruel practices,,,explicit,He had so thinned the people by his cruel practices,,
3,local,1,explicit,causal relationship,,Why did the Mudjee Monedo always run in a circle?,so that the starting and the winning-post was the same,,,explicit,So that the starting and the winning-post was the same,,
4,local,2,explicit,action,,How did the Mudjee Monedo leave his competitor behind?,"changed himself into a fox, wolf, deer, or other swift-footed animal",,,explicit,"He changed himself into a fox, wolf, deer, or other swift-footed animal, and was thus able to leave his competitor behind",,
5,local,2,explicit,action,,Why did the young men rather die?,They would rather die than be called cowards.,,,explicit,They would rather die than be called cowards,,
6,local,3,explicit,action,,What did the Mudjee Monedo do to learn whether the young boys were old enough to run with him?,"kept a very sharp eye upon their growth, and the day he thought them ready, he did not fail to challenge them to a trial on his racing-ground",,,explicit,He kept a very sharp eye upon their growth,,
7,local,4,explicit,character,,Who was the widow woman's daughter?,Minda,,,explicit,Minda,,
8,local,4,explicit,action,,What did the old woman teach her daughter during the leisure-time of the lodge?,"lessons in the art of working with the quills of porcupine, and bestowed on her such other accomplishments as should make her an ornament and a blessing to her husband's household",,,explicit,"she gave her lessons in the art of working with the quills of porcupine, and bestowed on her such other accomplishments as should make her an ornament and a blessing to her husband's household",,
9,local,5,explicit,setting,,Where did Minda come across a bird of red and deep-blue plumage softly blended?,a bank,,,explicit,A bank,,
10,local,7,explicit,character,,Who was the bird lover?,Monedowa,,,explicit,Monedowa,,
11,local,7,explicit,action,character,What did Monedowa appear at the door of the lodge as?,a hunter,,,explicit,As a hunter with a red plume and a mantle of blue upon his shoulders,,
12,local,7,explicit,outcome resolution,,What happened to Monedowa after he had gone out of sight of the lodge?,"He changed himself into the wood-bird, as he had been before his marriage, and took his flight through the air.",,,explicit,He changed himself into the wood-bird,,
13,local,8,explicit,causal relationship,,Why did Monedowa appear to not be like the Indian people around him?,"ate but little, and that of a peculiar kind of meat, flavored with berries",,,explicit,"He ate but little, and that of peculiar kind of meat, flavored with berries",,
14,local,8,explicit,causal relationship,,Why did the mudjee monedo believe someone was living with the widow?,casted sharp glances at the scaffolds so well laden with meat,,,explicit,The scaffolds are so well laden with meat,,
15,local,9,explicit,action,,What did Monedowa tell his wife to do on the day of the visit of the manito?,"to prepare certain pieces of meat, which he pointed out to her, together with two or three buds of the birch-tree, which he requested her to put in the pot",greet the mantio with welcome,,explicit,Prepare certain pieces of meat,the manito should be hospitably received,
16,local,9,explicit,action,prediction,How will Monedowa dress himself?,as a warrior,,,explicit,"As a warrior, embellishing his visage with tints of red",,
17,local,10,explicit,feeling,,How did the manito feel about his crafty success?,pleased,,,explicit,Pleased,,
18,local,11,explicit,causal relationship,,Why did the manito cough with great violence?,swallowed a grain of the birch-bud,,,explicit,He swallowed a grain of birch-bud,,
19,local,11,explicit,outcome resolution,,What happened to the manito after he drank off the broth at a breath?,turned his head and commenced coughing with great violence,,,explicit,The old body in which he had disguised himself was well-nigh shaken in pieces,,
20,local,12,explicit,character,,Who attended Monedowa to the manito's racing-ground?,Minda,the mother,the mother's young son,explicit,"Minda, the other and her young son",,
